
VLSM

HOST				JUMLAH	NID				IP-RANGE					SUBNET				BROADCAST

CHIPER				701		10.7.0.0		10.7.0.1 - 10.7.3.254		255.255.252.0		10.7.3.255
ELENA				301		10.7.4.0		10.7.4.1 - 10.7.5.254		255.255.254.0 		10.7.5.255
FUKUROU				201		10.7.6.0 		10.7.6.1 - 10.7.6.254		255.255.255.0 		10.7.6.255
BLUENO				101		10.7.7.0		10.7.7.1 - 10.7.7.126 		255.255.255.128		10.7.7.127
WATER7-SERVER		3 		10.7.7.128		10.7.7.129 - 10.7.7.134		255.255.255.248 	10.7.7.135
GUANHAO-SERVER		3 		10.7.7.136		10.7.7.137 - 10.7.7.142		255.255.255.248		10.7.7.143
WATER7-FOOSHA		2 		10.7.7.144		10.7.7.145 - 10.7.7.146		255.255.255.252 	10.7.7.147
GUANHAO-FOOSHA		2 		10.7.7.148		10.7.7.149 - 10.7.7.150		255.255.255.252 	10.7.7.151


/var/lib/dhcp/dhcpd.leases
